City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
1446,Puerto Ayora,-0.7393,-90.3518,80.56,84,37,8.99,EC,2021-07-25 18:54:38,scattered clouds
1447,Yarmouth,41.7057,-70.2286,71.96,89,90,10.0,US,2021-07-25 19:02:58,light rain
1448,Kurilsk,45.2333,147.8833,61.92,86,3,6.93,RU,2021-07-25 19:03:00,clear sky
1449,Sambava,-14.2667,50.1667,67.26,82,97,10.98,MG,2021-07-25 19:03:01,overcast clouds
1450,Severobaykalsk,55.65,109.3167,56.55,65,29,3.76,RU,2021-07-25 19:02:14,scattered clouds
1451,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
1452,Fengrun,39.8333,118.1167,78.75,88,85,5.66,CN,2021-07-25 19:03:01,overcast clouds
1453,Tuatapere,-46.1333,167.6833,47.82,93,100,5.41,NZ,2021-07-25 18:57:59,light rain
1454,Seoul,37.5683,126.9778,82.0,67,0,8.05,KR,2021-07-25 18:57:24,clear sky
1455,Marin,38.0666,-122.7344,84.94,53,1,4.61,US,2021-07-25 19:03:02,clear sky
1456,Mahebourg,-20.4081,57.7,70.25,64,20,12.66,MU,2021-07-25 18:55:40,few clouds
1457,Kodiak,57.79,-152.4072,53.11,82,90,5.75,US,2021-07-25 18:54:15,haze
1458,Mpika,-11.8343,31.4529,49.51,73,0,9.75,ZM,2021-07-25 19:03:03,clear sky
1459,Omboue,-1.5746,9.2618,73.67,81,100,7.74,GA,2021-07-25 19:03:03,overcast clouds
1460,Guaymas,27.9333,-110.9,95.88,50,6,7.56,MX,2021-07-25 18:58:25,clear sky
1461,Bethel,41.3712,-73.414,81.01,83,100,1.01,US,2021-07-25 18:59:11,overcast clouds
1462,Saint-Philippe,-21.3585,55.7679,69.35,77,29,11.59,RE,2021-07-25 18:59:12,scattered clouds
1463,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1464,Ahlat,38.7518,42.4814,71.4,35,0,4.38,TR,2021-07-25 19:03:04,clear sky
1465,Carnarvon,-24.8667,113.6333,53.67,73,0,4.61,AU,2021-07-25 18:58:22,clear sky
1466,Albany,42.6001,-73.9662,84.27,73,66,3.15,US,2021-07-25 18:54:00,broken clouds
1467,Paracuru,-3.41,-39.0306,84.22,60,19,15.35,BR,2021-07-25 19:03:05,few clouds
1468,Cidreira,-30.1811,-50.2056,71.89,60,0,10.2,BR,2021-07-25 19:00:15,clear sky
